table_schema,table_name,column_name
public,service_request_responses,id
public,service_request_responses,user_id
public,service_request_responses,service_request_id
public,service_requests,customer_id
public,service_requests,company_id
public,service_requests,id
public,service_tags,id
public,settings,id
public,settings,company_id
public,settings,sendgrid_api_key
public,settings,twilio_account_sid
public,shared_document_templates,id
public,signature_requests,external_envelope_id
public,signature_requests,id
public,signature_requests,company_id
public,signature_requests,document_id
public,signature_requests,external_provider
public,signature_requests,external_request_id
public,subcontractor_documents,id
public,subcontractor_documents,subcontractor_id
public,subcontractor_timesheets,subcontractor_id
public,subcontractor_timesheets,id
public,subcontractor_timesheets,work_order_id
public,subcontractor_work_orders,id
public,subcontractor_work_orders,subcontractor_id
public,subcontractor_work_orders,work_order_id
public,subcontractors,id
public,subcontractors,company_id
public,technician_locations,user_id
public,technician_locations,company_id
public,technician_locations,id
public,tool_preferences,id
public,tool_preferences,user_id
public,tool_usage,company_id
public,tool_usage,user_id
public,tool_usage,id
public,ui_preferences,id
public,ui_preferences,company_id
public,user_dashboard_settings,widget_order
public,user_dashboard_settings,company_id
public,user_dashboard_settings,user_id
public,user_dashboard_settings,id
public,user_permissions,company_id
public,user_permissions,id
public,user_permissions,user_id
public,users,company_id
public,users,id
public,users,employee_id
public,users,invited_by_user_id
public,vendor_catalog_v,company_id
public,vendor_catalog_v,vendor_id
public,vendor_catalog_v,inventory_item_id
public,vendor_catalog_v,id
public,vendor_categories,id
public,vendor_categories,company_id
public,vendor_category_assignments,category_id
public,vendor_category_assignments,vendor_id
public,vendor_category_assignments,id
public,vendor_contacts,vendor_id
public,vendor_contacts,id
public,vendor_contacts,company_id
public,vendor_items,vendor_id
public,vendor_items,id
public,vendor_items,company_id
public,vendor_items,inventory_item_id
public,vendor_pricing_history,purchase_order_id
public,vendor_pricing_history,id
public,vendor_pricing_history,company_id
public,vendor_pricing_history,vendor_id
public,vendor_pricing_history,inventory_item_id
public,vendors,id
public,vendors,company_id
public,vendors,tax_id
public,vendors_status_history,vendor_id
public,vendors_status_history,id
public,vw_employee_pto_ledger,company_id
public,vw_employee_pto_ledger,policy_id
public,vw_employee_pto_ledger,id
public,vw_timesheet_reports,company_id
public,vw_timesheet_reports,user_id
public,vw_timesheet_reports,timesheet_id
public,wo_audit,wo_id
public,wo_audit,id
public,work_order_assignments,company_id
public,work_order_assignments,id
public,work_order_assignments,work_order_id
public,work_order_assignments,employee_id
public,work_order_audit,id
public,work_order_audit,work_order_id
public,work_order_audit_log,user_id
public,work_order_audit_log,company_id
public,work_order_audit_log,work_order_id
public,work_order_audit_log,id
public,work_order_crew_v,work_order_id
public,work_order_items,inventory_item_id
public,work_order_items,work_order_id
public,work_order_items,id
public,work_order_items,company_id
public,work_order_labor,company_id
public,work_order_labor,employee_id
public,work_order_labor,work_order_id
public,work_order_labor,id
public,work_order_milestones,company_id
public,work_order_milestones,id
public,work_order_milestones,work_order_id
public,work_order_versions,company_id
public,work_order_versions,work_order_id
public,work_order_versions,id
public,work_orders,work_order_id
public,work_orders,recurring_parent_id
public,work_orders,parent_job_id
public,work_orders,service_address_id
public,work_orders,invoice_id
public,work_orders,amount_paid
public,work_orders,assigned_technician_id
public,work_orders,customer_id
public,work_orders,company_id
public,work_orders_history,work_order_id
public,work_orders_history,company_id
public,work_orders_history,customer_id
public,work_orders_history,invoice_id
public,workflow_approvals,approver_user_id
public,workflow_approvals,id
public,workflow_approvals,workflow_id
public,workflow_approvals,company_id
