enum_type,value
vendor_type_enum,subcontractor
vendor_type_enum,manufacturer
vendor_type_enum,distributor
vendor_type_enum,service_provider
vendor_type_enum,rental_company
work_order_line_item_type_enum,labor
work_order_line_item_type_enum,material
work_order_line_item_type_enum,equipment
work_order_line_item_type_enum,service
work_order_line_item_type_enum,permit
work_order_line_item_type_enum,disposal
work_order_line_item_type_enum,travel
work_order_line_item_type_enum,fee
work_order_line_item_type_enum,discount
work_order_line_item_type_enum,tax
work_order_priority_enum,low
work_order_priority_enum,normal
work_order_priority_enum,high
work_order_priority_enum,urgent
work_order_priority_enum,emergency
work_order_priority_enum,seasonal_peak
work_order_status_enum,draft
work_order_status_enum,quote
work_order_status_enum,approved
work_order_status_enum,scheduled
work_order_status_enum,parts_ordered
work_order_status_enum,on_hold
work_order_status_enum,in_progress
work_order_status_enum,requires_approval
work_order_status_enum,rework_needed
work_order_status_enum,completed
work_order_status_enum,invoiced
work_order_status_enum,cancelled
work_order_status_enum,sent
work_order_status_enum,rejected
work_order_status_enum,paid
work_order_status_enum,closed
work_order_status_enum,DRAFT
work_order_status_enum,QUOTE
work_order_status_enum,SENT
work_order_status_enum,ACCEPTED
work_order_status_enum,REJECTED
work_order_status_enum,SCHEDULED
work_order_status_enum,IN_PROGRESS
work_order_status_enum,COMPLETED
work_order_status_enum,CANCELLED
work_order_status_enum,INVOICED
work_order_status_enum,PAID
work_order_status_enum,CLOSED
