conname,table_name,references_table,column_name
work_order_labor_hours_check,work_order_labor,-,hours
unique_work_order_employee_date,work_order_labor,-,work_order_id
work_order_labor_employee_id_fkey,work_order_labor,users,employee_id
work_order_milestones_amount_or_percentage_chk,work_order_milestones,-,percentage
work_order_milestones_amount_or_percentage_chk,work_order_milestones,-,amount
work_order_milestones_pkey,work_order_milestones,-,id
work_order_milestones_work_order_id_fkey,work_order_milestones,work_orders,work_order_id
work_order_versions_work_order_id_fkey,work_order_versions,work_orders,work_order_id
work_order_versions_pkey,work_order_versions,-,id
work_order_versions_company_id_fkey,work_order_versions,companies,company_id
work_order_versions_created_by_fkey,work_order_versions,users,created_by
chk_work_orders_stage_status,work_orders,-,quote_status
chk_work_orders_stage_status,work_orders,-,job_status
work_orders_service_address_id_fkey,work_orders,customer_addresses,service_address_id
work_orders_pricing_model_check,work_orders,-,pricing_model
work_orders_recurring_interval_check,work_orders,-,recurring_interval
work_orders_reminder_method_check,work_orders,-,reminder_method
work_orders_parent_job_id_fkey,work_orders,work_orders,parent_job_id
work_orders_invoice_id_fkey,work_orders,invoices,invoice_id
chk_stage_status_guard,work_orders,-,work_status
chk_stage_status_guard,work_orders,-,job_status
chk_stage_status_guard,work_orders,-,quote_status
chk_stage_status_guard,work_orders,-,stage
work_orders_status_check,work_orders,-,status
work_orders_payment_status_check,work_orders,-,payment_status
work_orders_quote_number_key,work_orders,-,quote_number
work_orders_job_number_key,work_orders,-,job_number
work_orders_pkey,work_orders,-,id
work_orders_customer_id_fkey,work_orders,customers,customer_id
work_orders_invoice_number_key,work_orders,-,invoice_number
work_orders_company_id_fkey,work_orders,companies,company_id
work_orders_assigned_technician_id_fkey,work_orders,users,assigned_technician_id
work_orders_created_by_fkey,work_orders,users,created_by
chk_work_orders_stage_status,work_orders,-,work_status
work_orders_progress_percent_check,work_orders,-,progress_percent
chk_work_orders_stage_status,work_orders,-,stage
workflow_approvals_company_id_fkey,workflow_approvals,companies,company_id
workflow_approvals_workflow_id_fkey,workflow_approvals,document_workflows,workflow_id
workflow_approvals_pkey,workflow_approvals,-,id
workflow_approvals_status_check,workflow_approvals,-,status
workflow_approvals_approver_user_id_fkey,workflow_approvals,users,approver_user_id
