schemaname,tablename,policyname,permissive,roles,cmd,qual,with_check
public,payroll_runs,company_payroll_runs_insert,PERMISSIVE,{public},INSERT,null,(company_id = user_company_id())
public,payroll_runs,company_payroll_runs_select,PERMISSIVE,{public},SELECT,(company_id = user_company_id()),null
public,payroll_runs,company_payroll_runs_update,PERMISSIVE,{public},UPDATE,(company_id = user_company_id()),(company_id = user_company_id())
public,permissions,company_permissions_delete,PERMISSIVE,{public},DELETE,(company_id = user_company_id()),null
public,permissions,company_permissions_insert,PERMISSIVE,{public},INSERT,null,(company_id = user_company_id())
public,permissions,company_permissions_select,PERMISSIVE,{public},SELECT,(company_id = user_company_id()),null
public,permissions,company_permissions_update,PERMISSIVE,{public},UPDATE,(company_id = user_company_id()),(company_id = user_company_id())
public,profiles,profiles_insert_own,PERMISSIVE,{public},INSERT,null,"(user_id IN ( SELECT users.id
   FROM users
  WHERE (users.auth_user_id = auth.uid())))"
public,profiles,profiles_select_own,PERMISSIVE,{public},SELECT,"(user_id IN ( SELECT users.id
   FROM users
  WHERE (users.auth_user_id = auth.uid())))",null
public,profiles,profiles_update_own,PERMISSIVE,{public},UPDATE,"(user_id IN ( SELECT users.id
   FROM users
  WHERE (users.auth_user_id = auth.uid())))","(user_id IN ( SELECT users.id
   FROM users
  WHERE (users.auth_user_id = auth.uid())))"
public,purchase_order_line_items,company_purchase_order_line_items_delete,PERMISSIVE,{public},DELETE,(company_id = user_company_id()),null
public,purchase_order_line_items,company_purchase_order_line_items_insert,PERMISSIVE,{public},INSERT,null,(company_id = user_company_id())
public,purchase_order_line_items,company_purchase_order_line_items_select,PERMISSIVE,{public},SELECT,(company_id = user_company_id()),null
public,purchase_order_line_items,company_purchase_order_line_items_update,PERMISSIVE,{public},UPDATE,(company_id = user_company_id()),(company_id = user_company_id())
public,purchase_orders,company_purchase_orders_delete,PERMISSIVE,{public},DELETE,(company_id = user_company_id()),null
public,purchase_orders,company_purchase_orders_insert,PERMISSIVE,{public},INSERT,null,(company_id = user_company_id())
public,purchase_orders,company_purchase_orders_select,PERMISSIVE,{public},SELECT,(company_id = user_company_id()),null
public,purchase_orders,company_purchase_orders_update,PERMISSIVE,{public},UPDATE,(company_id = user_company_id()),(company_id = user_company_id())
public,quote_analytics,company_quote_analytics_delete,PERMISSIVE,{public},DELETE,(company_id = user_company_id()),null
public,quote_analytics,company_quote_analytics_insert,PERMISSIVE,{public},INSERT,null,(company_id = user_company_id())
public,quote_analytics,company_quote_analytics_select,PERMISSIVE,{public},SELECT,(company_id = user_company_id()),null
public,quote_analytics,company_quote_analytics_update,PERMISSIVE,{public},UPDATE,(company_id = user_company_id()),(company_id = user_company_id())
public,quote_approval_workflows,company_quote_approval_workflows_delete,PERMISSIVE,{public},DELETE,(company_id = user_company_id()),null
public,quote_approval_workflows,company_quote_approval_workflows_insert,PERMISSIVE,{public},INSERT,null,(company_id = user_company_id())
public,quote_approval_workflows,company_quote_approval_workflows_select,PERMISSIVE,{public},SELECT,(company_id = user_company_id()),null
public,quote_approval_workflows,company_quote_approval_workflows_update,PERMISSIVE,{public},UPDATE,(company_id = user_company_id()),(company_id = user_company_id())
public,quote_approvals,company_quote_approvals_delete,PERMISSIVE,{public},DELETE,(company_id = user_company_id()),null
public,quote_approvals,company_quote_approvals_insert,PERMISSIVE,{public},INSERT,null,(company_id = user_company_id())
public,quote_approvals,company_quote_approvals_select,PERMISSIVE,{public},SELECT,(company_id = user_company_id()),null
public,quote_approvals,company_quote_approvals_update,PERMISSIVE,{public},UPDATE,(company_id = user_company_id()),(company_id = user_company_id())
public,quote_change_requests,company_quote_change_requests_delete,PERMISSIVE,{public},DELETE,(company_id = user_company_id()),null
public,quote_change_requests,company_quote_change_requests_insert,PERMISSIVE,{public},INSERT,null,(company_id = user_company_id())
public,quote_change_requests,company_quote_change_requests_select,PERMISSIVE,{public},SELECT,(company_id = user_company_id()),null
public,quote_change_requests,company_quote_change_requests_update,PERMISSIVE,{public},UPDATE,(company_id = user_company_id()),(company_id = user_company_id())
public,quote_defaults,company_quote_defaults_delete,PERMISSIVE,{public},DELETE,(company_id = user_company_id()),null
public,quote_defaults,company_quote_defaults_insert,PERMISSIVE,{public},INSERT,null,(company_id = user_company_id())
